hts10,cty_code,usmca_share
0304999192,1220,1
0304999192,2010,1
0305202000,1220,0
0305202000,2010,0
0305204020,1220,1
0305204020,2010,0
0305204040,1220,0.7008622379
0305204040,2010,0
0305204065,1220,0.3228366334
0305204065,2010,0
0305310100,1220,0
0305310100,2010,0
0305320010,1220,0.6127617348
0305320010,2010,0
0305320090,1220,0.4257582715
0305320090,2010,0
0305392000,1220,0
0305392000,2010,0
0305394000,1220,0
0305394000,2010,0
0305396110,1220,0
0305396110,2010,0
0305396180,1220,0.3890980925
0305396180,2010,0
0305410000,1220,0.9970057379
0305410000,2010,1
0305420020,1220,0.6559846809
0305420020,2010,0
0305420050,1220,0.4892405224
0305420050,2010,0
0305420060,1220,0.5026534074
0305420060,2010,0
0305430000,1220,0
0305430000,2010,0
0305440100,1220,0
0305440100,2010,0
0305492000,1220,0.2758718119
0305492000,2010,0
0305494020,1220,0.7070652396
0305494020,2010,0
0305494045,1220,0.4722046747
0305494045,2010,0.4987024387
